sentence,outlet,topic,type,Label_bias,Label_opinion,biased_words
YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.,usa-today,elections-2020,center,Biased,Somewhat factual but also opinionated,['belated' 'birtherism']
The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.,msnbc,sport,left,Non-biased,Entirely factual,['bitter']
"So while there may be a humanitarian crisis driving more vulnerable people to seek asylum in the United States, there is no security crisis.",alternet,immigration,left,Biased,Expresses writer’s opinion,['crisis']
"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.",breitbart,environment,right,Non-biased,No agreement,['legitimate']
"Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. ",federalist,abortion,right,Biased,Somewhat factual but also opinionated,['killing' 'never' 'developing' 'humans' 'enough']
The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).,reuters,sport,center,Non-biased,Entirely factual,['']
The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. ,msnbc,environment,left,Biased,Expresses writer’s opinion,['rejects' 'happy' 'assumed']
The explosion of the Hispanic population has long-term job prospect consequences as well: Both legal and illegal aliens will occupy 75 percent of new American jobs in as little as five years.,breitbart,student-debt,right,Biased,No agreement,['explosion']
"The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. ",usa-today,vaccines,center,Biased,Somewhat factual but also opinionated,['']
Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. ,usa-today,abortion,center,Non-biased,Entirely factual,['']
"Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.",huffpost,elections-2020,left,Non-biased,Entirely factual,['']
"Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. ",alternet,elections-2020,left,Biased,Somewhat factual but also opinionated,['quasi-militarized']
"But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.",msnbc,vaccines,left,Biased,No agreement,['glaring']
"Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.",breitbart,abortion,right,Non-biased,Expresses writer’s opinion,['abortion']
